typename,time_original,time_columOpt_prealloc,time_columOpt_prealloc_V1,time_fminknap,resOpt_v1,resOpt,resFmin
almost,0.000000,0.058533,0.057326,0.000015,53198.162503,53198.162503,53198.162503
almost,0.000000,0.056391,0.057506,0.000031,51634.465892,51634.465892,51634.465892
almost,0.000000,0.055306,0.054555,0.000016,58169.549833,58169.549833,58169.549833
almost,0.000000,0.053312,0.054259,0.000022,58856.150759,58856.150759,58856.150759
almost,0.000000,0.054104,0.053640,0.000021,51548.815733,51548.815733,51548.815733
almost,0.000001,0.053831,0.060864,0.000018,48861.301731,48861.301731,48861.301731
almost,0.000000,0.054014,0.054170,0.000015,60722.415359,60722.415359,60722.415359
almost,0.000000,0.054193,0.054247,0.000015,55890.883665,55890.883665,55890.883665
almost,0.000000,0.053972,0.054329,0.000017,57358.875575,57358.875575,57358.875575
almost,0.000001,0.056478,0.054498,0.000020,53142.372036,53142.372036,53142.372036
almost,0.000000,0.055900,0.057207,0.000017,51312.965968,51312.965968,51312.965968
almost,0.000000,0.056731,0.057158,0.000025,52366.964471,52366.964471,52366.964471
almost,0.000000,0.056625,0.057736,0.000016,54533.268674,54533.268674,54533.268674
almost,0.000000,0.055369,0.055644,0.000020,56560.520920,56560.520920,56560.520920
almost,0.000001,0.077558,0.057067,0.000016,52156.684523,52180.142532,52180.142532
almost,0.000000,0.056594,0.057223,0.000017,53765.467083,53765.467083,53765.467083
almost,0.000000,0.056851,0.058750,0.000018,56666.182434,56666.182434,56666.182434
almost,0.000000,0.058847,0.059745,0.000018,54920.211120,54920.211120,54920.211120
almost,0.000000,0.056480,0.054373,0.000018,61181.764706,61181.764706,61181.764706
almost,0.000000,0.057952,0.055901,0.000018,46476.700370,46476.700370,46476.700370
almost,0.000000,0.056023,0.057936,0.000015,64329.629323,64329.629323,64329.629323
almost,0.000000,0.057548,0.057237,0.000015,49767.180269,49767.180269,49767.180269
almost,0.000000,0.058313,0.059802,0.000018,52321.267008,52321.267008,52321.267008
almost,0.000000,0.057327,0.057052,0.000018,56417.543480,56417.543480,56417.543480
almost,0.000000,0.056917,0.057299,0.000016,53037.848751,53037.848751,53037.848751
almost,0.000000,0.055200,0.054844,0.000018,49738.484544,49738.484544,49738.484544
almost,0.000000,0.057441,0.054571,0.000014,54615.101225,54615.101225,54615.101225
almost,0.000000,0.057477,0.059196,0.000017,51604.602106,51604.602106,51604.602106
almost,0.000000,0.058257,0.058801,0.000018,46847.205428,46847.205428,46847.205428
almost,0.000000,0.057638,0.060435,0.000016,56391.942588,56391.942588,56391.942588
almost,0.000000,0.058245,0.059719,0.000023,51496.780906,51496.780906,51496.780906
almost,0.000000,0.058828,0.056326,0.000019,56350.914336,56350.914336,56350.914336
almost,0.000000,0.055907,0.062531,0.000036,51858.171823,51858.171823,51858.171823
almost,0.000000,0.055415,0.056614,0.000031,47337.335645,47337.335645,47337.335645
almost,0.000000,0.055227,0.063104,0.000023,52276.248536,52276.248536,52276.248536
almost,0.000000,0.058402,0.058643,0.000018,55840.598222,55840.598222,55840.598222
almost,0.000000,0.063378,0.057488,0.000017,56954.479226,56960.358791,56960.358791
almost,0.000000,0.056047,0.057023,0.000017,53961.237579,53961.237579,53961.237579
almost,0.000001,0.053519,0.054373,0.000016,45797.112535,45797.112535,45797.112535
almost,0.000000,0.054601,0.055682,0.000019,52597.842185,52597.842185,52597.842185
almost,0.000000,0.059307,0.057738,0.000015,60497.572752,60497.572752,60497.572752
almost,0.000000,0.053732,0.053919,0.000017,48573.936441,48573.936441,48573.936441
inv,0.000000,1.051166,1.049129,0.000019,25782.572718,25782.572718,25782.572718
inv,0.000000,1.053772,1.045004,0.000024,21700.720459,21700.720459,21700.720459
inv,0.000000,1.077909,1.038556,0.000017,22983.335670,22983.335670,22983.335670
inv,0.000000,1.051273,1.038547,0.000018,21517.946995,21517.946995,21517.946995
inv,0.000000,1.052947,1.037949,0.000018,21154.596045,21154.596045,21154.596045
inv,0.000001,1.045467,1.036760,0.000016,25932.648384,25932.648384,25932.648384
inv,0.000000,1.053721,1.047125,0.000014,25470.249028,25470.249028,25470.249028
inv,0.000000,1.052171,1.043146,0.000017,20556.490465,20556.490465,20556.490465
inv,0.000000,1.051231,1.055800,0.000015,21411.853917,21411.853917,21411.853917
inv,0.000000,1.046342,1.039713,0.000022,21410.937586,21410.937586,21410.937586
inv,0.000000,1.050852,1.041211,0.000014,22222.295494,22222.295494,22222.295494
inv,0.000000,1.047627,1.039380,0.000015,23676.369163,23676.369163,23676.369163
inv,0.000000,1.051540,1.039867,0.000015,25937.517268,25937.517268,25937.517268
inv,0.000000,1.050401,1.047058,0.000014,30221.369470,30221.369470,30221.369470
inv,0.000000,1.047928,1.040675,0.000016,26590.035791,26590.035791,26590.035791
inv,0.000000,1.048600,1.039442,0.000016,23561.338435,23561.338435,23561.338435
inv,0.000000,1.073039,1.041843,0.000013,21478.597839,21478.597839,21478.597839
inv,0.000000,1.051917,1.044585,0.000015,29043.928871,29043.928871,29043.928871
inv,0.000000,1.056265,1.049339,0.000022,23231.577823,23231.577823,23231.577823
inv,0.000000,1.054296,1.065664,0.000016,26243.363187,26243.363187,26243.363187
inv,0.000000,1.089126,1.043951,0.000012,22749.993627,22749.993627,22749.993627
inv,0.000000,1.065837,1.064344,0.000018,22315.565526,22315.565526,22315.565526
inv,0.000000,1.085976,1.069572,0.000026,28798.937027,28798.937027,28798.937027
inv,0.000000,1.051022,1.042844,0.000016,23494.474426,23494.474426,23494.474426
inv,0.000000,1.048592,1.043437,0.000016,30036.159776,30036.159776,30036.159776
inv,0.000000,1.054486,1.040952,0.000014,21086.089728,21086.089728,21086.089728
inv,0.000000,1.051524,1.045346,0.000019,24242.374329,24242.374329,24242.374329
inv,0.000000,1.059035,1.043572,0.000015,23848.254879,23848.254879,23848.254879
inv,0.000000,1.059472,1.046105,0.000016,26675.743116,26675.743116,26675.743116
inv,0.000000,1.055425,1.037548,0.000017,24736.904601,24736.904601,24736.904601
inv,0.000000,1.055395,1.047551,0.000019,23341.595776,23341.595776,23341.595776
inv,0.000000,1.051198,1.043050,0.000015,23215.894333,23215.894333,23215.894333
inv,0.000000,1.056537,1.038941,0.000015,26275.275185,26275.275185,26275.275185
inv,0.000000,1.052715,1.048354,0.000014,22361.999891,22361.999891,22361.999891
inv,0.000000,1.050264,1.042331,0.000022,22832.877268,22832.877268,22832.877268
inv,0.000000,1.057461,1.044291,0.000015,20918.144800,20918.144800,20918.144800
inv,0.000000,1.049952,1.043815,0.000015,23007.724175,23007.724175,23007.724175
inv,0.000000,1.047762,1.041165,0.000023,20697.607178,20697.607178,20697.607178
inv,0.000000,1.049635,1.047601,0.000016,23118.067174,23118.067174,23118.067174
inv,0.000000,1.051092,1.042646,0.000015,28948.186023,28948.186023,28948.186023
inv,0.000000,1.047016,1.045016,0.000015,32832.968523,32832.968523,32832.968523
inv,0.000001,1.045818,1.039899,0.000015,24765.603169,24765.603169,24765.603169
inv,0.000000,1.050875,1.041608,0.000018,21648.376748,21648.376748,21648.376748
inv,0.000000,1.052063,1.039817,0.000016,25591.059860,25591.059860,25591.059860
inv,0.000000,1.049922,1.043381,0.000014,25022.403435,25022.403435,25022.403435
inv,0.000000,1.053660,1.043979,0.000013,23858.886911,23858.886911,23858.886911
inv,0.000000,1.050784,1.040410,0.000021,19516.757004,19516.757004,19516.757004
inv,0.000000,1.052821,1.067879,0.000024,23286.913861,23286.913861,23286.913861
inv,0.000000,1.051882,1.045036,0.000017,24663.274634,24663.274634,24663.274634
inv,0.000000,1.048519,1.041365,0.000017,21982.403489,21982.403489,21982.403489
inv,0.000000,1.047724,1.039810,0.000027,18731.632483,18731.632483,18731.632483
inv,0.000001,1.047051,1.044968,0.000014,23595.063614,23595.063614,23595.063614
inv,0.000001,1.054351,1.041101,0.000014,27039.966201,27039.966201,27039.966201
inv,0.000000,1.053510,1.042143,0.000019,22343.731064,22343.731064,22343.731064
inv,0.000000,1.053880,1.044909,0.000015,25485.781866,25485.781866,25485.781866
inv,0.000000,1.048228,1.041448,0.000014,22970.853329,22970.853329,22970.853329
inv,0.000000,1.046853,1.042368,0.000014,25983.442029,25983.442029,25983.442029
