typename,s_size_v1,s_size_v2,s_size_v1_1,s_size_v2_1,time_ks2_allocation,time_ks2_v2,time_ks2_v2_allocation_1,time_ks2_v2_1,time_ks2_v1_allocation,time_ks2_v1,time_ks2_v1_allocation_1,time_ks2_v1_1,time_original
uncorr,744,384,744,384,0.000007,0.001647,0.000006,0.000073,0.000013,0.001950,0.000013,0.000098,0.003661
uncorr,744,384,744,384,0.000007,0.001655,0.000007,0.000058,0.000012,0.001930,0.000014,0.000109,0.003715
uncorr,744,384,744,384,0.000007,0.001648,0.000006,0.000050,0.000013,0.001851,0.000013,0.000090,0.003759
uncorr,744,384,744,384,0.000007,0.001647,0.000007,0.000068,0.000012,0.001908,0.000014,0.000094,0.003688
uncorr,744,384,744,384,0.000007,0.001687,0.000007,0.000050,0.000012,0.001854,0.000012,0.000089,0.003673
uncorr,744,384,744,384,0.000007,0.001648,0.000006,0.000066,0.000013,0.001917,0.000013,0.000083,0.003686
uncorr,744,384,744,384,0.000007,0.001654,0.000007,0.000062,0.000013,0.001860,0.000013,0.000077,0.003715
uncorr,744,384,744,384,0.000007,0.001646,0.000006,0.000052,0.000012,0.001863,0.000012,0.000080,0.003783
uncorr,744,384,744,384,0.000007,0.001644,0.000007,0.000048,0.000013,0.001860,0.000013,0.000072,0.003607
uncorr,744,384,744,384,0.000007,0.001692,0.000007,0.000051,0.000013,0.001855,0.000012,0.000076,0.003651
uncorr,744,384,744,384,0.000007,0.001743,0.000007,0.000066,0.000016,0.001890,0.000012,0.000073,0.003609
uncorr,744,384,744,384,0.000007,0.001653,0.000006,0.000063,0.000012,0.001861,0.000012,0.000077,0.003672
uncorr,744,384,744,384,0.000007,0.001642,0.000007,0.000048,0.000012,0.001905,0.000012,0.000071,0.003662
uncorr,744,384,744,384,0.000007,0.001657,0.000006,0.000045,0.000012,0.001850,0.000012,0.000071,0.003623
uncorr,744,384,744,384,0.000007,0.001691,0.000006,0.000060,0.000012,0.001932,0.000013,0.000074,0.003614
uncorr,744,384,744,384,0.000007,0.001640,0.000006,0.000048,0.000012,0.001868,0.000012,0.000072,0.003605
uncorr,744,384,744,384,0.000007,0.001656,0.000007,0.000047,0.000013,0.001851,0.000012,0.000071,0.003657
uncorr,744,384,744,384,0.000007,0.001674,0.000007,0.000047,0.000013,0.001850,0.000013,0.000070,0.003629
uncorr,744,384,744,384,0.000007,0.001639,0.000006,0.000046,0.000020,0.001855,0.000012,0.000070,0.003690
uncorr,744,384,744,384,0.000007,0.001648,0.000007,0.000046,0.000012,0.001857,0.000013,0.000068,0.003620
uncorr,744,384,744,384,0.000008,0.001648,0.000006,0.000048,0.000012,0.001869,0.000013,0.000070,0.003650
uncorr,744,384,744,384,0.000007,0.001639,0.000006,0.000047,0.000012,0.001849,0.000013,0.000070,0.003624
uncorr,744,384,744,384,0.000006,0.001647,0.000007,0.000047,0.000012,0.001851,0.000013,0.000069,0.003618
uncorr,744,384,744,384,0.000007,0.001646,0.000007,0.000046,0.000012,0.001850,0.000013,0.000069,0.003618
uncorr,744,384,744,384,0.000007,0.001647,0.000007,0.000046,0.000012,0.001880,0.000012,0.000072,0.003650
uncorr,744,384,744,384,0.000007,0.001652,0.000007,0.000061,0.000012,0.001945,0.000013,0.000082,0.003673
uncorr,744,384,744,384,0.000007,0.001649,0.000006,0.000058,0.000012,0.001913,0.000013,0.000093,0.003792
uncorr,744,384,744,384,0.000007,0.001651,0.000007,0.000056,0.000013,0.001853,0.000012,0.000090,0.003904
uncorr,744,384,744,384,0.000007,0.001652,0.000007,0.000059,0.000012,0.001856,0.000012,0.000099,0.003697
uncorr,744,384,744,384,0.000008,0.001775,0.000007,0.000091,0.000019,0.002006,0.000013,0.000090,0.004293
uncorr,744,384,744,384,0.000008,0.001786,0.000006,0.000068,0.000013,0.001923,0.000012,0.000110,0.003863
uncorr,744,384,744,384,0.000009,0.001722,0.000006,0.000079,0.000012,0.001868,0.000012,0.000089,0.004374
uncorr,744,384,744,384,0.000008,0.001875,0.000007,0.000089,0.000014,0.002034,0.000012,0.000120,0.003769
uncorr,744,384,744,384,0.000008,0.001821,0.000007,0.000066,0.000013,0.001862,0.000013,0.000096,0.003661
uncorr,744,384,744,384,0.000007,0.001643,0.000007,0.000064,0.000013,0.001862,0.000012,0.000103,0.003665
uncorr,744,384,744,384,0.000007,0.001781,0.000007,0.000071,0.000016,0.001903,0.000013,0.000092,0.003677
uncorr,744,384,744,384,0.000007,0.001860,0.000009,0.000088,0.000017,0.002039,0.000013,0.000101,0.003767
uncorr,744,384,744,384,0.000007,0.001647,0.000007,0.000062,0.000013,0.002000,0.000015,0.000149,0.007955
uncorr,744,384,744,384,0.000015,0.002224,0.000012,0.000125,0.000023,0.002490,0.000015,0.000103,0.004317
uncorr,744,384,744,384,0.000011,0.001738,0.000007,0.000067,0.000013,0.001864,0.000012,0.000096,0.003787
uncorr,744,384,744,384,0.000008,0.001705,0.000007,0.000072,0.000013,0.001872,0.000012,0.000106,0.003757
uncorr,744,384,744,384,0.000007,0.001651,0.000007,0.000054,0.000012,0.001896,0.000014,0.000111,0.003652
uncorr,744,384,744,384,0.000007,0.001658,0.000007,0.000067,0.000013,0.001873,0.000012,0.000098,0.003715
almost,403,208,403,208,0.000005,0.001934,0.000004,0.000054,0.000007,0.002431,0.000007,0.000053,0.003703
almost,403,208,403,208,0.000004,0.001937,0.000004,0.000061,0.000007,0.002423,0.000008,0.000069,0.003665
almost,403,208,403,208,0.000004,0.001916,0.000004,0.000058,0.000007,0.002444,0.000007,0.000044,0.003791
almost,403,208,403,208,0.000005,0.001927,0.000004,0.000072,0.000007,0.002477,0.000007,0.000056,0.003727
almost,403,208,403,208,0.000004,0.001920,0.000004,0.000063,0.000007,0.002452,0.000007,0.000071,0.003751
almost,403,208,403,208,0.000004,0.001908,0.000004,0.000060,0.000007,0.002409,0.000007,0.000070,0.003723
almost,403,208,403,208,0.000005,0.001908,0.000004,0.000060,0.000007,0.002413,0.000007,0.000069,0.003706
almost,403,208,403,208,0.000004,0.001915,0.000004,0.000068,0.000007,0.002392,0.000007,0.000050,0.003730
almost,403,208,403,208,0.000004,0.001908,0.000004,0.000058,0.000007,0.002417,0.000007,0.000063,0.004134
almost,403,208,403,208,0.000004,0.002131,0.000004,0.000067,0.000007,0.002410,0.000008,0.000069,0.003825
almost,403,208,403,208,0.000004,0.001969,0.000004,0.000077,0.000007,0.002464,0.000007,0.000062,0.003677
almost,403,208,403,208,0.000004,0.001963,0.000003,0.000074,0.000008,0.002401,0.000007,0.000061,0.003703
almost,403,208,403,208,0.000004,0.001937,0.000004,0.000073,0.000008,0.002714,0.000007,0.000059,0.003697
