typename,original,columOpt_prealloc,columOpt_prealloc_V1,fminknap,resOpt,resFmin
inv,0.000823,0.000203,0.000203,0.000006,353.073379,353.073379,353.073379
inv,0.000830,0.000204,0.000205,0.000002,383.990621,383.990621,383.990621
inv,0.000832,0.000206,0.000206,0.000006,382.575740,382.575740,382.575740
inv,0.000994,0.000354,0.000206,0.000007,382.618816,382.618816,382.618816
inv,0.000858,0.000210,0.000210,0.000008,333.484800,333.484800,333.484800
inv,0.000826,0.000206,0.000213,0.000007,426.053626,426.053626,426.053626
inv,0.000883,0.000202,0.000203,0.000005,385.661286,385.661286,385.661286
inv,0.000855,0.000424,0.000205,0.000006,388.684110,388.684110,388.684110
inv,0.000834,0.000210,0.000205,0.000007,295.992406,295.992406,295.992406
inv,0.000825,0.000210,0.000211,0.000005,320.277419,320.277419,320.277419
inv,0.000937,0.000207,0.000207,0.000003,361.297192,361.297192,361.297192
inv,0.000824,0.000210,0.000388,0.000006,323.648829,323.648829,323.648829
inv,0.000895,0.000203,0.000204,0.000009,350.253864,350.253864,350.253864
inv,0.000826,0.000205,0.000205,0.000005,414.444735,414.444735,414.444735
inv,0.000830,0.000206,0.000206,0.000004,457.768006,457.768006,457.768006
inv,0.000826,0.000204,0.000204,0.000005,401.730005,401.730005,401.730005
inv,0.000883,0.000211,0.000205,0.000005,437.837884,437.837884,437.837884
inv,0.000856,0.000204,0.000348,0.000005,355.285606,355.285606,355.285606
inv,0.000825,0.000209,0.000203,0.000006,360.057283,360.057283,360.057283
inv,0.000933,0.000202,0.000204,0.000004,343.050388,343.050388,343.050388
inv,0.000827,0.000205,0.000234,0.000004,390.878027,390.878027,390.878027
inv,0.000836,0.000295,0.000205,0.000007,343.786493,343.786493,343.786493
inv,0.000824,0.000203,0.000204,0.000006,412.003338,412.003338,412.003338
inv,0.001303,0.000203,0.000204,0.000004,391.740082,391.740082,391.740082
inv,0.000826,0.000217,0.000217,0.000005,347.996132,347.996132,347.996132
inv,0.000825,0.000205,0.000258,0.000004,385.928693,385.928693,385.928693
inv,0.000831,0.000204,0.000204,0.000005,334.657730,334.657730,334.657730
inv,0.001056,0.000202,0.000203,0.000003,425.887431,425.887431,425.887431
inv,0.000833,0.000204,0.000205,0.000003,307.403675,307.403675,307.403675
inv,0.000824,0.000203,0.000203,0.000005,368.647668,368.647668,368.647668
inv,0.001929,0.000204,0.000204,0.000010,401.941172,401.941172,401.941172
inv,0.000843,0.000228,0.000209,0.000005,315.233790,315.233790,315.233790
inv,0.000835,0.000203,0.000203,0.000003,325.247075,325.247075,325.247075
inv,0.000825,0.000205,0.000272,0.000006,415.338655,415.338655,415.338655
inv,0.000824,0.000210,0.000204,0.000005,399.857599,399.857599,399.857599
inv,0.001015,0.000202,0.000204,0.000006,459.134167,459.134167,459.134167
inv,0.001254,0.000206,0.000206,0.000007,354.430055,354.430055,354.430055
inv,0.000830,0.000216,0.000229,0.000004,392.531654,392.531654,392.531654
inv,0.001076,0.000203,0.000203,0.000004,375.028323,375.028323,375.028323
inv,0.001640,0.000214,0.000268,0.000007,422.028980,422.028980,422.028980
inv,0.000832,0.000398,0.000399,0.000008,384.694055,384.694055,384.694055
