typename,time_original,time_columOpt_prealloc,time_columOpt_prealloc_V1,time_ks2_v1_nocol_noalloc,time_ks2_v1_allocation,time_ks2_allocation,time_ks2_v1_allocation,time_ks2_allocation,time_ks2_v1_allocation,time_ks2_allocation,time_fminknap,resOpt_v1,resOpt,resFmin
s_div: 19974, s_cut: 17855
almost,0.000000,0.547714,0.026095,0.000000,0.006736,0.010459,0.006736,0.010459,0.006736,0.010459,0.000010,435165.554848,43180.280983,44888.588960
almost,0.000000,0.548650,0.026153,0.000000,0.009345,0.010264,0.009345,0.010264,0.009345,0.010264,0.000009,381395.498431,39688.813391,41646.868153
almost,0.000000,0.552120,0.027208,0.000000,0.010750,0.010148,0.010750,0.010148,0.010750,0.010148,0.000010,475710.958602,44227.332572,45979.420604
almost,0.000000,0.547827,0.027113,0.000000,0.006779,0.010577,0.006779,0.010577,0.006779,0.010577,0.000013,443094.369702,42103.666065,43397.881163
almost,0.000000,0.552604,0.026338,0.000000,0.008466,0.010506,0.008466,0.010506,0.008466,0.010506,0.000010,443201.260338,42881.642245,44435.198627
almost,0.000000,0.548606,0.027186,0.000000,0.006825,0.010447,0.006825,0.010447,0.006825,0.010447,0.000008,420557.096800,43453.993131,45695.577090
almost,0.000000,0.548865,0.027602,0.000000,0.011845,0.010498,0.011845,0.010498,0.011845,0.010498,0.000010,445052.459860,39175.861977,41156.080130
almost,0.000000,0.552445,0.026073,0.000000,0.008089,0.010562,0.008089,0.010562,0.008089,0.010562,0.000008,426336.459740,44123.450249,47261.056601
almost,0.000000,0.548252,0.027324,0.000000,0.007333,0.010255,0.007333,0.010255,0.007333,0.010255,0.000012,453187.219417,47872.372270,48488.093169
almost,0.000000,0.549289,0.026302,0.000000,0.013376,0.010284,0.013376,0.010284,0.013376,0.010284,0.000010,431225.394905,39646.304067,40850.920423
almost,0.000000,0.549780,0.026139,0.000000,0.006893,0.010452,0.006893,0.010452,0.006893,0.010452,0.000008,372928.975410,39257.110926,40605.142552
almost,0.000000,0.552514,0.027118,0.000000,0.007325,0.010266,0.007325,0.010266,0.007325,0.010266,0.000026,465967.848066,38966.588746,39868.452768
almost,0.000000,0.552697,0.028340,0.000000,0.006683,0.010782,0.006683,0.010782,0.006683,0.010782,0.000011,402308.866398,37173.641780,39477.588779
almost,0.000000,0.558012,0.026185,0.000000,0.013359,0.010758,0.013359,0.010758,0.013359,0.010758,0.000010,418844.876307,45389.451393,46972.836135
almost,0.000000,0.549889,0.026346,0.000000,0.007293,0.010314,0.007293,0.010314,0.007293,0.010314,0.000011,399548.284154,39451.706380,39788.928233
almost,0.000000,0.549622,0.027335,0.000000,0.006799,0.010303,0.006799,0.010303,0.006799,0.010303,0.000008,423224.769791,38732.009777,41436.345690
almost,0.000000,0.550128,0.026415,0.000000,0.012373,0.010411,0.012373,0.010411,0.012373,0.010411,0.000012,401652.867320,35968.569533,36872.692364
almost,0.000000,0.560498,0.030584,0.000000,0.007769,0.010881,0.007769,0.010881,0.007769,0.010881,0.000010,436930.293306,35640.446919,36842.328082
