type,capacity,n,t_v1,t_v2,s_v1,s_v2,t_size_v1_div,t_size_v2_cut,s_sizev1_div,s_size_v2_cut,time_v1,time_v2,time_v1_div,time_v2_cut,time_original_prealloc,time_ks2_v1_1,time_ks2_v2_1,time_ks2_v1_1_div,time_ks2_v2_1_cut,res_original_alloc,resOpt_v1_1,resOpt_v2_1,resOpt_v1_1_div,resOpt_v2_1_cut
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.031135,0.075879,0.030505,0.000337,0.032953,233593.522686,233593.522686,233593.522686,230996.667193,233593.522686
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.031502,0.076353,0.033344,0.000355,0.030196,256240.695447,256240.695447,256240.695447,250888.689134,256240.695447
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.031431,0.077372,0.030003,0.000352,0.030537,300591.029585,300591.029585,300591.029585,297444.170375,300591.029585
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.030876,0.077300,0.029637,0.000337,0.029301,225774.557908,225774.557908,225774.557908,220867.215463,225774.557908
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.030540,0.073966,0.030951,0.000343,0.031478,190886.658838,190886.658838,190886.658838,187080.361062,190886.658838
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.031433,0.072939,0.029938,0.000329,0.029945,197125.264779,197125.264779,197125.264779,194135.803407,197125.264779
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.030778,0.081511,0.030097,0.000360,0.032054,188113.761875,188113.761875,188113.761875,184697.233710,188113.761875
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.031050,0.074443,0.030880,0.000361,0.031005,258884.812695,258884.812695,258884.812695,254256.150868,258884.812695
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.030303,0.074731,0.029997,0.000326,0.029839,233672.340453,233672.340453,233672.340453,231158.407992,233672.340453
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.032885,0.073657,0.030640,0.000355,0.030634,245986.857195,245986.857195,245986.857195,242130.400288,245986.857195
